=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.29 00:21:22 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,Accel X Avg,Accel Y Avg,Accel Z Avg,Gyro X Avg,Gyro Y Avg,Gyro Z Avg,Temp Avg 
0.12,0.13,9.78,28.11,0.06,0.01,-0.02,,,,,,,,
0.13,0.12,9.81,27.97,0.09,-0.02,0.15,,,,,,,,
0.14,0.13,9.76,28.06,0.04,0.05,0.21,,,,,,,,
0.1,0.14,9.91,27.92,-0.02,0,0.01,,,,,,,,
0.17,0.12,9.85,27.97,-0.04,0,0.01,,,,,,,,
0.14,0.13,9.81,28.01,-0.05,0.11,0.06,,,,,,,,
0.12,0.15,9.83,27.97,0.09,0.05,-0.12,,,,,,,,
0.09,0.1,9.82,28.11,-0.03,0.11,0.09,,,,,,,,
0.2,0.1,9.79,28.06,0.04,0.12,0.14,,,,,,,,
0.18,0.06,9.91,28.01,-0.06,-0.05,0.1,,,,,,,,
0.16,0.11,9.78,28.06,0.03,0.07,-0.11,,,,,,,,
0.15,0.12,9.81,28.01,-0.02,0.1,0.06,,,,,,,,
0.14,0.13,9.8,28.06,-0.07,0.01,0,,,,,,,,
0.11,0.17,9.8,28.01,0.09,0.14,0.11,,,,,,,,
0.14,0.12,9.79,28.06,0.06,-0.06,0.02,,,,,,,,
0.15,0.12,9.78,28.01,0.07,0.15,-0.05,,,,,,,,
0.04,0.14,9.85,28.01,-0.07,0.18,0.16,,,,,,,,
0.14,0.11,9.84,27.97,0.06,0.04,0.02,,,,,,,,
0.17,0.03,9.73,28.11,0.09,0,-0.02,,,,,,,,
0.11,0.14,9.83,27.97,-0.18,0.04,0.04,,,,,,,,
