=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.29 00:47:55 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,Accel X Avg,Accel Y Avg,Accel Z Avg,Gyro X Avg,Gyro Y Avg,Gyro Z Avg,Temp Avg 
0,0.03,9.8,28.53,-0.02,-0.13,-0.06,,,,,,,,
0.01,0.07,9.85,28.39,-0.06,0.07,-0.03,,,,,,,,
-0.01,0.06,9.78,28.48,0.06,0.08,-0.02,,,,,,,,
0.01,0,9.82,28.62,0.01,0.04,0.07,,,,,,,,
0.03,0.03,9.91,28.48,0.04,-0.12,0.05,,,,,,,,
-0.05,-0.01,9.78,28.53,0.01,-0.08,0.24,,,,,,,,
-0.02,0,9.88,28.53,-0.05,0.01,0.11,,,,,,,,
-0.07,0.02,9.79,28.58,-0.03,-0.08,-0.05,,,,,,,,
-0.04,0,9.81,28.48,0.17,0.02,-0.07,,,,,,,,
-0.06,0.05,9.81,28.53,-0.02,0.15,0.07,,,,,,,,
0.04,-0.05,9.74,28.58,-0.12,0.08,0.03,,,,,,,,
0.04,0.04,9.84,28.44,0.12,0.06,-0.04,,,,,,,,
-0.01,0.01,9.8,28.44,-0.05,0.04,0.04,,,,,,,,
0.01,0.02,9.83,28.48,-0.12,0.01,-0.11,,,,,,,,
0.02,0.02,9.78,28.53,0.11,-0.06,0.09,,,,,,,,
0.02,0.05,9.86,28.58,0.09,-0.05,0.01,,,,,,,,
-0.06,0.04,9.86,28.53,0.01,-0.1,0.07,,,,,,,,
0.02,0.02,9.77,28.48,0.01,0.08,-0.05,,,,,,,,
-0.01,0.03,9.85,28.53,0.05,-0.09,-0.09,,,,,,,,
-0.04,-0.01,9.85,28.44,0.2,0,-0.02,,,,,,,,
-0.02,0.06,9.85,28.48,0.04,0.14,0.04,,,,,,,,
0.01,-0.02,9.88,28.53,0.03,-0.02,-0.03,,,,,,,,
